,City,Price,Title,bedroom,ft
42,745RimmonStManchesterNH,$1400,Apartment for Rent,2br,1200ft2
43,Manchester,$1850,Gorgeous Original Features in this Luxury Renovated 2 bed with a View!,2br,1035ft2
44,"Dover,NH",$1500,End unit townhouse-style 2 bedroom Dover condo,2br,1150ft2
45,"108WMainStreetMerrimac,MA",$1625,"Luxury 55+ Active Adult Community- Coming Soon to Merrimac, MA",1br,889ft2
46,"221BTaylorCir,Pembroke,NH",$975,"HOME FOR RENT, OPEN HOUSE SAT 11/13, NOON-3PM & SUN 11/ 18, 10am-noon",2br,1340ft2
47,420PleasantStreetPortsmouthNH,$1550,1 Bedroom Apartment in Portsmouth's South End,1br,650ft2
48,Manchester,$995,* Heat & Hot Water included *,1200ft2,
49,Manchester,$1665,Lovely PetFriendly 2bed 2bath w/elv AvailableNow Heat+HotWater include,2br,1199ft2
50,"Merrimack,NH",$1199,1 Bedroom available this month! Don't pass this opportunity up!,1br,
51,Laocnia,$1255,Don't Settle for Less!!! Apple Ridge is your affordable dream home!,2br,984ft2
52,"Manchester,NH",$750,Spacious 3 bedroom 3 bath home for rent in great location,3br,1344ft2
53,Concord/Penacook,$1035,Nestle into Oak Creek and let us pay your heat for 1 year,2br,820ft2
54,"146TurkeyHillRd.,Merrimack,NH",$1199,MOVE IN BEFORE NEW YEARS! ALL UTILITIES INCLUDED!,1br,559ft2
55,NewmarketNH,$1150,spacious newly renovated 2bed condo Newmarket,2br,728ft2
56,"Nashua,NH",$1750,Three Bedroom apartment,3br,1000ft2
57,"Manchester,NH",$2090,River View From This Intown Manchester Loft @ Mill #1,2br,1043ft2
58,"Manchester,NH",$1620,Urban Loft Living at Manchester's Lofts at Mill #1,2br,1022ft2
59,RoyalRidge,$1483,On-site recycling and large multi level fitness center with steam room,2br,1000ft2
60,eastWashington,$550,In Law Apartment,675ft2,
61,"Manchester,NH",$1755,Convenient Intown Manchester Living at The Lofts at Mill #1,2br,1022ft2
62,,$1300,"Dishwasher, Outdoor barbecue area, On-site public transportation",2br,870ft2
63,,$1400,"1 Bedroom, 1 Bathroom Apartment For Rent in Hooksett",1br,649ft2
64,"EastRidgeDrive,MilfordNH",$1689,~~ 2 Bedroom / 2 Bath Apartment! Pet Friendly!,2br,964ft2
65,Peterborough,$1200,"Very Clean, Remodeled, Heat Included, Parking, W/D",2br,
66,"80EasternAvenue,Manchester,NH",$1299,~~ Spacious Apartment With Dishwasher! Highway Access!,2br,833ft2
67,"Nashua,NH",$1450,Huge 2 BR Corner Unit on Top Floor w/Elevator!,2br,1050ft2
68,"90PowersStreet,Milford,NH",$1189,~~ Milford Trails Magic! Cat & Dog Friendly!,1br,650ft2
69,MeredithNeckRdMeredith,$1500,Beautiful One Bedroom Apartment - MEREDITH,1br,1200ft2
70,"93WestStreet,Milford,NH",$1099,~~ What A Deal! FREE HEAT & HOT WATER - Cat Friendly!,2br,716ft2
71,"12BlockAve.,Claremont,NH",$950,Claremont Village Condos,2br,1000ft2
72,"30HanoverStreet,ManchesterNH",$1289,~~ Why Look Any Further! We Have A 1BR For You! Skylight!,1br,840ft2
73,29CapronRoadMilfordNH,$1169,~~ Cool Autumn Deal! No Security Deposit Required!,1br,600ft2
74,"64MerrimackStreet,Manchester,NH",$849,~~ Nice Apartment In Professionally Managed Building!,273ft2,
75,Warner,$900,Nice Attractive - Very Well Maintained,1br,
76,RoyalRidge,$1533,Maple Cabinets / Updated Appliances / Washers and Dryers,2br,1000ft2
77,"86UnionStreet,ManchesterNH",$1559,"~~ Red Oak Has The Gold Standard For Rentals, Priced Right!",2br,1200ft2
78,GILFORD,$1500,House for Rent,2br,1500ft2
79,Exeter,$2710,One Jady Hill at Exeter Mill 2bd/2ba with office,2br,1478ft2
80,Portsmouth,$2445,Get one month free- LEASE TODAY!,2br,983ft2
81,DearbornStreet,$1195,Renovated Large Two Bed. Apartment in Nice Neighborhood-East Side,2br,1058ft2
82,MERRIMACK,$1375,"Smoke/Pet free 1ST Flr Renovated 2 bed, w/ Free WIFI, STORAGE, PARKING",2br,880ft2
83,Laconia,$1500,House in Laconia with Brand New Carpets & Walk Out Basement,3br,1456ft2
84,"26BathSt,ManchesterNH",$1259,~~ No Security Deposit ~ Bonus! Renovated Apartment!,3br,790ft2
85,"4MartinSt,DerryNH",$1269,~~ Free Heat & Hot Water!,2br,850ft2
86,FarmLaneSeabrook,$1800,Seabrook Remoded year round Home,3br,1500ft2
87,180WoodburyStreet,$1610,Need a rest? Call the Best! Come to Carisbrooke today,2br,1125ft2
88,ossipee,$975,"$975 / 1br - 750ft2 - Large 1 bdrm unit,private with all utilities (os",1br,750ft2
89,Concord/Penacook,$1035,Stay warm & toasty while we pay your heat~No Security,2br,820ft2
90,Concord/Penacook,$1035,Score A touchdown @ Oak Creek ~ No Security & Free Heat for 1 year,2br,850ft2
91,Exeter,$1400,"1 BR w/deck, 3 season porch, basement, w/d, dishwasher",1br,700ft2
92,LittletonNH,$750,can be fixed up 3 bedroom trailer,3br,930ft2
93,NewportNHbyClaremont,$1095,2.8 Acres of Land House,3br,1538ft2
94,Manchester,$975,362 Central Street #1 Lovely 3 Bedroom Apartment,3br,
95,27FirstStreetAptE,$1300,2 BR Apartment in Downtown Dover,2br,900ft2
96,,$1806,"2 bedroom - Plank flooring, Granite countertops, Carports available",2br,949ft2
97,Portsmouth,,"Avail Feb 1 - Large Sunny furnished, walk to town, W/D, lovely yard",1br,
98,Derry,$1702,No more lugging that laundry around! W/D in this 2BR 2 full bathroom!,2br,
99,Nashua,$1625,"Head-turning Style, Extraordinary Location. 323",1br,892ft2
100,"Nashua,NH",$1650,Warm Up with Our Hot Lofts 34 Rent Special (Unit LL04),2br,1099ft2
101,"Nashua,NH",$1600,Lofts 34 Luxury Living All Around (Unit 127),1br,803ft2
102,,$1600,3 Bedroom Colonial in Laconia,3br,
103,DoverRdChichesterNH,$1150,Chichester 1 - Bedroom Apartment - Brand New Remodel *,1br,950ft2
104,Manchester,$1495,Spacious Renovated North End 3 Bedroom (PETS Negotiable)!!!,3br,1400ft2
105,Manchester,$1595,!!!LARGE PRIVATE 1St FLOOR 3 BED FOR ONLY $1595!! Heat & HW Included,3br,1500ft2
106,"Manchester,NH",$1665,"2bed, 2bath, heat, hotwater, elevator, offstreet parking, dog friendly",2br,1199ft2
107,Manchester,$670,Fully furnished apartments for month to month stays.,1br,
108,"Exeter,NH",$300,Executive Studio/$300 weekly,1br,400ft2
109,"Lebanon,NH",$2125,Great Looking Townhouse! Prospect Hills,3br,1706ft2
110,"Laconia,NH",$1845,Charm Up Your Life at Prospect Hills.,2br,1020ft2
111,RiddleSt.ManchesterNH,$1250,Duplex Rental,3br,1200ft2
112,Manchester,$1145,Close to shopping and coffee ~ Renovated ~ Rural area to walk ~,1br,
113,Manchester,$1145,No carpets ~ Fall move ~ Renovated ~ Rural Area ~,1br,600ft2
114,"15SentinelCt.,ManchesterNH",$2199,☖ Newer 5 BR House Available in Redstone Community! $750 Off!,5br,1774ft2
115,"Portsmouth,NH",$1800,PORTSMOUTH - 2 Bedroom Condo in Springbrook w/ many Amenities!,2br,1071ft2
116,,$2410,"Sleek and Contemporary Appliances, Clubhouse, Spacious Closets",2br,919ft2
117,64MerrimackSt.,$879,Affordable Studio for Rent➨ Cute and Cozy with FREE HT/HW/ELECTRIC!,262ft2,
118,Spofford,$1400,House on spofford lake,3br,
119,Seacoast,,Free Mobile Home 2b/2b,2br,
120,SouthNashua,$1109,Affordable Nashua two bedroom available in January,2br,750ft2
121,Fremont,$1600,2 bedroom townhouse with 1 car garage and deck,2br,1200ft2
122,Goffstown,$1650,Duplex Semi-detached - Goffstown NH,2br,2032ft2
123,Salem,$2195,Gorgeous Waterfront View! Salem lakefront 2-bedroom house,2br,1198ft2
124,"15SentinelCt,ManchesterNH",$2199,Single Family House For Rent! Large Dog Friendly!,5br,1774ft2
125,Manchester,$1145,Walk your pet ~ Picnic under the pines ~ Renovated ~ Rural Area ~,1br,
126,"20SentinelCt,Manchester,NH",$1349,🐾 $750 OFF! Private W/D and Central A/C! 2 FULL Baths! Dogs OK!,2br,853ft2
127,"10SentinelCt,ManchesterNH",$1349,You Will Have ALOT to Be Thankful For w/ $750 OFF 1st Month Rent!!!!,2br,853ft2
128,Bradford,$1399,✥ One Bedroom ~ 2nd Floor ✥ H&HW INCLUDED ✥,1br,670ft2
129,"Dracut,MA",$1300,Fully renovated 2 bed condo,2br,700ft2
130,119EasternAve.Manchester,$1299,☛  Sunset's Largest Dog Friendly 2 BR Apts!,2br,833ft2
131,Milford,$1689,Beautiful Two bedroom in New Community!  No Security Deposit!,2br,964ft2
132,30HanoverSt.,$1069,Studio Apt Finally Available at Historic Opera Block!!,560ft2,
133,"30HanoverSt.,Manchester",$1289,☕ Huge Luxury 1 BR Available for Rent Downtown! One-of-a-Kind!,1br,840ft2
134,"Boscawen,NH",$999,2 BR in Peaceful Small Apartment Community Near Concord,2br,700ft2
135,177EasternAveManchesterNH,$1099,On The Hunt For A One Bedroom Apartment? Look No More!,1br,633ft2
136,610UnionSt.,$1059,"Large, Sunny and Unique 1 BR w/ Built-in Hutch and Dining Room!",1br,752ft2
137,Durham,$969,Sign Your Lease Today!,4br,
138,Laconia,$994,Income Qualify Today For Our Waitlist,2br,973ft2
139,Manchester,$800,"Available Dec. 1-Nice,Spacious 3 bed w/Heat/HW",3br,790ft2
140,Dover,$1489,All Renovated Two Bedroom Apartment- Close to Downtown Dover!,2br,750ft2
141,5folsomRdCtrOssipee,$825,Quiet 1 bedroom  Ctr Ossipee NH,1br,700ft2
142,Dover,$1349,Exclusive One Bedroom Available! Call Today to schedule your tour,1br,
143,"Laconia,NH",$1175,Beautiful 3 bedroom apartment in Laconia,3br,
144,Laconia,$1450,InLaw Apartment,1br,450ft2
145,MANCHESTER,$1575,SPACIOUS ONE BEDROOM WITH LOTS OF AMENITIES IN GREAT LOCATION!!,1br,712ft2
146,Pembroke,$1400,4BR Apartment,4br,1800ft2
147,Salem,$2170,Luxury Two Bedroom Apartment Homes,2br,1000ft2
148,Offexit8fromRoute93....EdwardJ.RoyDrive,$1500,"3BR/2BA townhouse w/gas heat, W/D included, non smokers, NO DOGS!!!",3br,1320ft2
149,39OldHackettHillRd,$1185,Spacious 1 bedroom Manchester,1br,640ft2
150,2LafayetteSq,$1250,Beautiful 1 Bedroom Apartment,1br,700ft2
151,meredith,$550,Spindle Point community of Meredith!!Everything,2br,550ft2
152,"TEMPLE,NH",$1795,BRAND NEW luxurious Apartment 5 MINUTES FROM PETERBOROUGH,3br,2400ft2
153,Manchester,$1145,Love Where You Live at Southside Manor,1br,600ft2
154,meredith,$500,December 1st and located just minutes to downtown Meredith,1br,1264ft2
155,"260MastRoadDurham,NH",$795,LARGE BEDROOM IN A 3 BEDROOM APARTMENT AVAILABLE!,1br,
156,,$2194,"2 bedroom- Pet friendly with some restrictions, Walk- in closets",2br,1097ft2
157,"95PowersSt.,Milford,NH",$1249,Spacious 2 bedroom with big bedrooms! Oversized balcony!,2br,875ft2
158,180Woodburystreet,$1610,24 hour emergency maintenance! Call Carisbrooke today!,2br,1125ft2
159,Lebanon,$2125,Life Just Got Better at Prospect Hill (39),3br,1706ft2
160,Laconia,$1255,Looking for an Apt in Laconia that accepts Pets?,2br,984ft2
161,Lebanon,$2125,How home should feel - Prospect Hill,3br,1706ft2
162,Lebanon,$2125,"Location, Community, Quality Living. It Starts Here!",3br,1706ft2
163,Bennington,$950,Large apartment,2br,
164,147MainSt.,$975,"Keene, Main St. 2 bdrm apt with parking",2br,750ft2
165,189IndianRockRd.,$2000,Merrimack 3 Bedroom Townhouse,3br,
166,MilfordNH,$1099,School's IN session!! 2Bed near Milford HS!!! Make the move today!!,2br,716ft2
167,Manchester,$849,Ready NOW... FREE Utilities--Studio- No Security Deposit to pay!,300ft2,
168,"Portsmouth,NH",$1750,PORTSMOUTH - Sunny 2 Bedroom Condo walking distance to downtown!,2br,800ft2
169,Peterborough,$875,Peterborough 2 Floor One Bedroom,,
170,"Milford,NH",$1689,Shiny new 2 bedroom available soon! Grab it before it goes!,2br,
171,"Downtown,WestEnd",$2200,Portsmouth Home Rental,2br,1000ft2
172,62VernonStManchesterNH,$950,Modern apartment *Ready & Waiting!!*,2br,
173,147MainSt.,$800,"Keene, Main St. efficiency apt with parking",1br,380ft2
174,147MainSt.,$850,"Keene, Main St. 1 bedroom apt w/parking",1br,401ft2
175,"20SentinelCt,Manchester",$1329,Take $750 OFF your Rent!!  Great Move in Special!  Save BIG!,2br,861ft2
176,newhampshire,$1250,$1250 / 3br - 3 Bedroom Upgrade!!,,
177,Milford,$1099,LG  Apt w/FREE Heat & Hot Water! NO Sec Deposit!,2br,716ft2
178,Nashua,$1600,"3 bedroom, dog and pet friendly",3br,1050ft2
179,Salem-You'lllovelivinghere!,$1795,Salem - Brand New & Gorgeous! Balcony -Pool -Gym -Clubhouse -Pet Spa!,1br,
180,Hooksett,$1589,"LG Condo for Rent- in Dec- Central Air, Gourmet Kitchen, 3 Balconies !",2br,1135ft2
181,"27EastRidgeDr,Milford,NH",$2199,"Non-Smoking--3 BR Townhouse- Milford, NH: BRAND NEW!",3br,1885ft2
182,"86UnionSt,Manchester,NH",$1559,"Townhouse Condo for Rent!  1.5 Baths, 2 Bedrooms 2 Car Garage!",2br,1200ft2
183,Keene/Swanzey,$1305,"Private Keene neighborhood!Includes Heat,Hot Water, & Covered Parking!",2br,
184,Milford,$1449,-- Brand New 1 BR Apt!   No Security Deposit!  Elevator in Building,1br,658ft2
185,Manchester,$1635,Remarkable Value. Unbeatable Location. Mill West,2br,1100ft2
186,"Boscawen,NH",$999,Tour Today- A 2 BR with Free Hot Water!  Call Today!!,2br,774ft2
187,Manchester,$1299,LOOK:  Pet Friendly 2 BR at Sunset Ridge!  Upgraded Kitchen,2br,733ft2
188,Manchester,$1069,FREE--- DOWNTOWN PARKING--- 2 Room STUDIO  ✫  at The Opera Block,560ft2,
189,Milford,$1249,Large 2 BR-  Apt ----- NO Sec Deposit!,2br,875ft2
190,177EasternAveManchester,$1259,Enjoy The Privacy Of This Corner 2 Bedroom Apartment!,2br,733ft2
191,Thornton,$1325,Large 3 bedroom Apartment,3br,
192,Concord/Penacook,$1035,Don't fret about heating costs..We've got you covered...,2br,820ft2
193,Manchester,$1810,Apartments Tailored to Your Highest Standards.,2br,1020ft2
194,180WoodburyStreet,$1700,Pets welcomed!  Stop by Carisbrooke today!,2br,1125ft2
195,"Farmington,NH",$900,Quality 2 bedrm Townhouse apartment,2br,
196,Salem-You'lllovelivinghere!,$1785,Salem - Brand New & Gorgeous! Balcony -Pool -Gym -Clubhouse -Pet Spa!,1br,
197,newhampshire,$750,$750 / 2br - 2 Bedroom/1 Bath,,
198,Salem-You'lllovelivinghere!,$1795,Salem - Brand New & Gorgeous! Balcony -Pool -Gym -Clubhouse -Pet Spa!,1br,
199,Manchester,$1810,Time to Call Mill West You New Home. Special Price,2br,1029ft2
200,ManchesterNH,$1360,Gracious  square foot apartment in Manchester,2br,975ft2
201,Manchester,$1810,Lease Today Before Special Melts Away.,3br,1020ft2
202,Seabrook,$2695,3 Bedroom Single Family Home w/garage,,
203,Portsmouth,$2500,Downtown Portsmouth with a 2 Parking Spots,1br,1134ft2
204,Manchester,$1350,Available Now-Heat and Water INCLUDED,2br,
205,Nashua,$2350,Available 12/1/18 24 Hour Notice required for all showings,3br,2070ft2
206,Derry,$1227,Snag this lowest rate today! Call us for details!,2br,
207,Manchester,$1700,"4-Bedroom Unit, WiFi included",4br,1860ft2
208,Nashuanh,$1500,3br 1bath for rent,3br,900ft2
209,26HighlandAshlandNH,$875,Rental,1br,700ft2
210,Durham,$969,Four Bedroom Apartment Available!,4br,1554ft2
211,,$850,1 Bed 1 Bath Apartment,1br,
212,PortsmouthNh,$2400,"Large 3 Bedroom, Multi Level Duplex - .5 miles from Downtown",3br,2000ft2
213,"Milford,NH",$1400,Condo for rent in desirable Quarrywood Green,2br,850ft2
214,CANTERBURY,$2400,"CANTERBURY:  6 beds, 4 bath",6br,
215,"30HanoverStreet,Manchester,NH",$1289,Everyone Is A V.I.P. At Red Oak! No Sec. Deposit Required!,1br,840ft2
216,Franklin,$225,FRANKLIN:  Weekly Efficiency Rental,,
217,Franklin,$750,FRANKLIN:  Modern 1 bedroom,1br,
218,"10SentinelCt,ManchesterNH",$1329,Top Floor 2 BR For Rent - $750 OFF 1st Month Rent! Large Dog Friendly!,2br,861ft2
219,"Milford,NH",$1249,2 Bedroom for rent! Call Today! Going Fast!,2br,875ft2
220,"15SentinelCt,ManchesterNH",$2199,Spread OUT! This House Has it ALL! Garage! Basement & More!,5br,1774ft2
221,"93WestStreet,Milford,NH",$1099,Charming Apartment - Big Value! Central Vac For Easy Clean-Up!,2br,716ft2
222,"10SentinelCt,ManchesterNH",$1329,Handicap Accessible - 1st Floor Apt - Save $750 on December's Rent!,2br,861ft2
223,Nashua,$1737,You Deserve The Best! Live at Tara Heights!,2br,1070ft2
224,"4MartinStreet,Derry,NH",$1269,Don't Leave Your Cat! Free Heat & Hot Water!,2br,850ft2
225,"26BathStreet,Manchester,NH",$1259,Is High Rent Making You Sick? Feel Better With This Renovated Apt!,3br,790ft2
226,"86UnionStreet,Manchester,NH",$1559,"Everyday & Everyone, Never Pay A Security Deposit!",2br,1200ft2
227,"EastRidgeDrive,Milford,NH",$2199,Super Deal At The Ridge At Eastern Trails Townhomes!,3br,1885ft2
228,"90PowersStreet,Milford,NH",$1249,Perfect Timing! Move In Soon! Pet Friendly!,2br,875ft2
229,150Rte1Bypass#201,$2900,"2 bedroom, 2 bath new construction by hospital and downtown Portsmouth",2br,
230,Portsmouth,$2500,One month free leasing special!,2br,1036ft2
231,"64MerrimackStreet,Manchester,NH",$849,Have No Fear! Red Oak Is Here! Free Utilities!,273ft2,
232,Arlingtonstreet,$1450,Large Clean 2 Bedroom,2br,1066ft2
233,,$1649,"1 bedroom - Nine-foot ceilings & walk-in closets, Plank flooring",1br,739ft2
234,"20SentinelCourt,Manchester,NH",$1349,2 Bedroom Apartment Home - Move In Now! Rental Special!,2br,853ft2
235,Salem-HandytoI-93,$2170,Brand New Luxury Community! Great Location! Pool - Gym - Pet Friendly!,2br,
236,"20SentinelCourt,Manchester,NH",$1329,Your Search Ends Here! Non-Smoking Apartment!,2br,861ft2
237,,$1795,Two story 3 BR House Great Area W/D Hkp Storage space Basement &Attic,,
238,"80EasternAvenue,Manchester,NH",$1299,Welcome Home To Sunset Ridge - We Love Cats & Small Dogs!,2br,833ft2
239,Manchester,$1290,Close to both Highway and down town,2br,1000ft2
240,"80EasternAvenue,Manchester,NH",$1299,Welcome Home To Sunset Ridge - We Love Cats & Small Dogs!,2br,833ft2
241,Manchester,$1290,Close to both Highway and down town,2br,1000ft2
242,Keene,$975,Large 3 bedroom,3br,
243,395MainStreet,$975,"2 Bdrm Subsidized / $975 Cherryfield Village Apts, Somersworth, NH",2br,
244,395MainStreet,$925,"1 Bdrm Subsidized / $925 Cherryfield Village Apts, Somersworth, NH",1br,
245,20Route236,$943,"2 Bdrm Subsidized / $943 Applegate Village Apts, Berwick, ME",2br,
246,20Route236,$808,"1 Bdrm Subsidized / $808 Applegate Village Apts, Berwick, ME",1br,
247,VillageAptsRoad,$897,"2 Bdrm Subsidized / $897 Belmont Village Apts, Belmont, NH",2br,
248,Derry,$1425,Spacious and Sunny 2 bedroom Apt. with lots of closets,2br,
249,VillageAptsRoad,$787,"1 Bdrm Subsidized / $787 Belmont Village Apts, Belmont, NH",1br,
250,"93WestStreet,Milford,NH",$1099,*** Moving This Fall? We Can Help! Central Vac!,2br,716ft2
251,Nashua,$1505,Apartment Features You Will Love!,2br,980ft2
252,,$1200,Updated 2 Bedroom 2 Bathroom Dover Apartment,2br,
253,Derry,$1211,This One Will Go Fast...2 Bed & Section 8 Welcome!!,2br,
254,Manchester,$995,***HEAT & HOT WATER***,1br,1200ft2
255,Milford,$1039,Accepting Applications Always!  1 Bedrooms,1br,
256,Milford,$1039,Apply today! 1 Bedrooms available,1br,
257,BelmontStreet,$1700,Spacious Antique Two-Story Apartment,2br,1275ft2
258,"7RailroadAvenue,Derry,NH",$1429,*** Spacious Apartment! Washer & Dryer! Highway Access!,2br,910ft2
259,"10SentinelCt,ManchesterNH",$1349,1st Floor Apartment & $750 OFF 1st Month Rent! Tour Today!,2br,853ft2
260,ManchesterWest,$1100,Large Two Bedroom,2br,
261,HAMPTONBEACH,$1200,NEW UNITS / ROOMS YEAR AROUND-AVAILABLE NOV 9 2018,,
262,"82ThirdStreet,Manchester,NH",$1429,"*** We Are Proud To Present Our Beautiful, Modern Apartments!",3br,1355ft2
263,Hamptonbeachnh,$250,Studio apt room for rent,,
264,292MainSt,$1400,Apartment for rent -West side-Manchester,3br,
265,Manchester,$1550,Renovated 2 bedroom house rental,2br,
266,241PineStdowntownManchesterSNHUcenter,$750,Studio w private bath & kitchenette,,
267,"Goffstown,NH",$3000,House for rent,2800ft2,
268,Manchester,$800,1 Bdrm Apt,1br,
269,Effingham,$1200,"3 bedroom, 5 acres, private, peaceful, month to month.",1750ft2,
270,"Boscawen,NH-nearConcord",$999,Big and Bright- A 2 BR with Free Hot Water!  Call Today!!,2br,700ft2
271,03301,$1300,"Spacious south end 2 BR apartment in Concord, NH",2br,
272,"20SentinelCt,Manchester,NH",$1349,BOOM--- $750 OFF Your 1st Month-----2 BR/2BA,2br,853ft2
273,1850FrontStManchesterNH,$1850,OPEN HOUSE SATURDAY 11/17 1-3 pm at Regency West in Manchester,2br,1140ft2
274,"Concord,NH",$1300,"Attractive 2 BR Apartment near Downtown Concord, NH",2br,
275,"30bgovernmentstreet,Kittery",$1100,Kittery 1 bed with office/ storage,1br,
276,"86UnionStreet,Manchester,NH",$1559,*** Nice Townhome In Professionally Managed Building! Dishwasher!,2br,1200ft2
277,"Milford,NH",$1689,NOW TOURING!!   BRAND NEW--Extra Sound Proofing-- 2 bedroom Apts,2br,964ft2
278,"NearNashua:27EastRidgeDr,Milford,NH",$2199,"WOW--WOW--WOW-----All NEW- 3 BR Townhouse- Milford, NH",3br,1885ft2
279,Manchester,$1635,A Cornucopia of Amenities Await You - #104,2br,930ft2
280,MilfordNH,$1189,One bedroom in QUIET Milford NH available NOW,1br,600ft2
281,"29CapronRoad,Milford,NH",$1169,*** Apartments for Rent! Life Just Got Better!,1br,600ft2
282,Manchester,$879,Move in Ready... FREE Utilities--Studio- No Security Deposit to pay!,300ft2,
283,"99MammothRoad,Hooksett,NH",$1589,*** Have No Fear: Red Oak Is Here! Microwave & Dishwasher!,2br,1135ft2
284,MERRIMACK,$1475,"$500 off 1st mo HWD Flrs 2 bed, w/ Free WIFI, STORAGE, PARKING, more",2br,880ft2
285,"1370FrontStreet,Manchester",$1710,Regency Place ~ Manchester's Premier  Community,2br,1200ft2
286,DowntownExeter,$1000,Small 1BR inc H/HW/Elec,1br,500ft2
287,merrimack,$1425,"$500 off 1st Smoke/Pet free 1ST Flr 2 bed,w/Free WIFI,STORAGE,PARKING",2br,880ft2
288,,$2194,"2 bedroom - Full-size washer and dryer in each home, Granite counterto",2br,1097ft2
289,,$1050,"1 Bedroom Rochester, Newly Refinished",1br,800ft2
290,,$1470,"Laundry facilities, Cozy breakfast nooks, Hiking and biking trails, Gourmet Kitc",2br,870ft2
291,SummerStreet,$1050,One Bedroom Rochester Downtown,1br,800ft2
292,,$1806,"2 bedroom - Mini blinds, Gas-burning fireplaces, Well-landscaped grounds",2br,949ft2
293,,$1821,"2 bedroom - Granite countertops, Carports available, Oversized garden tubs",2br,933ft2
294,,$1649,"1 bedroom - Valet dry-cleaning service, Plank flooring, Carports avail",1br,739ft2
295,"90PowersStreet,Milford,NH",$1289,*** Milford Apartment 2 Bedroom + No Security Deposit!,2br,875ft2
296,"Dover,NH",$2800,DOVER - Lovely 2+ Bedroom Single Family Ranch with Large Yard!,3br,1370ft2
297,"Milford,NH",$1449,Large and Updated 1 Bedroom! Book your tour today!,1br,
